"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Coarse_STE","Coarse_STE_rank"
"479","Mollusca","ZZZ","ZZZ","Bivalvia","Heterodonta","ZZZ","ZZZ","Veneroida","ZZZ","ZZZ","Glossoidea","Glossidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Glossidae","Family"
"494","Arthropoda","Chelicerata","ZZZ","Arachnida","ZZZ","ZZZ","ZZZ","Solifugae","ZZZ","ZZZ","ZZZ","Daesiidae","Gluviinae","ZZZ","ZZZ","ZZZ","ZZZ","Gluvia","ZZZ","ZZZ","ZZZ","ZZZ","Gluvia","Genus"
"503","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Limnephiloidea","Goeridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Goeridae","Family"
"513","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Gyrinidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Gyrinidae","Family"
"514","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Gyrinidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Gyrinidae","Family"
"521","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Cucujiformia","Cucujoidea","Coccinellidae","Hyperaspidinae","ZZZ","ZZZ","ZZZ","ZZZ","Helesius","ZZZ","ZZZ","ZZZ","ZZZ","Helesius","Genus"
"522","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Dryopidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Helichus","ZZZ","ZZZ","ZZZ","ZZZ","Helichus","Genus"
"530","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","ZZZ","Hydrophilini","ZZZ","ZZZ","Helochares","ZZZ","ZZZ","ZZZ","ZZZ","Helochares","Genus"
"531","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","ZZZ","Hydrophilini","ZZZ","ZZZ","Helochares","ZZZ","ZZZ","ZZZ","ZZZ","Helochares","Genus"
"534","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Helophoridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Helophorus","ZZZ","ZZZ","ZZZ","ZZZ","Helophorus","Genus"
"535","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","Neuropterida","Neuroptera","Hemerobiiformia","ZZZ","ZZZ","Hemerobiidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hemerobiidae","Family"
"537","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hemiptera","Order"
"541","Mollusca","ZZZ","ZZZ","Bivalvia","Heterodonta","ZZZ","ZZZ","Veneroida","ZZZ","ZZZ","Lucinoidea","Lucinidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Here","ZZZ","ZZZ","ZZZ","ZZZ","Here","Genus"
"552","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Heteroceridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Heteroceridae","Family"
"553","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Leptoceroidea","Calamoceratidae","Calamoceratinae","ZZZ","ZZZ","ZZZ","ZZZ","Heteroplectron","ZZZ","ZZZ","californicum","ZZZ","Heteroplectron","Genus"
"554","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Leptoceroidea","Calamoceratidae","Calamoceratinae","ZZZ","ZZZ","ZZZ","ZZZ","Heteroplectron","ZZZ","ZZZ","californicum","ZZZ","Heteroplectron","Genus"
"555","Ectoprocta","ZZZ","ZZZ","Gymnolaemata","ZZZ","ZZZ","ZZZ","Cyclostomata","Cerioporina","ZZZ","ZZZ","Heteroporidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Heteropora","ZZZ","ZZZ","pacifica","ZZZ","Heteropora pacifica","Species"
"556","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","Heteroptera","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Heteroptera","Suborder"
"557","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Hydroporinae","ZZZ","Hydroporini","ZZZ","ZZZ","Heterosternuta","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"567","Annelida","ZZZ","ZZZ","Clitellata","Lumbriculata","ZZZ","ZZZ","Hirudinida","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hirudinida","Order"
"568","Annelida","ZZZ","ZZZ","Clitellata","Lumbriculata","ZZZ","ZZZ","Hirudinida","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hirudinida","Order"
"569","Annelida","ZZZ","ZZZ","Clitellata","Lumbriculata","ZZZ","ZZZ","Hirudinida","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hirudinida","Order"
"576","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Dytiscinae","ZZZ","Hydaticini","ZZZ","ZZZ","Hydaticus","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"586","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hydrachnidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydrachna","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"587","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hydrachnidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"588","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Hydraenidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydraenidae","Family"
"589","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Hydraenidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydraenidae","Family"
"590","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Hydraenidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydraenidae","Family"
"591","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Hydraenidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydraenidae","Family"
"594","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrochidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydrochus","ZZZ","ZZZ","ZZZ","ZZZ","Hydrochus","Genus"
"595","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hydrodromidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydrodroma","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"596","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydrophilidae","Family"
"597","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydrophilidae","Family"
"598","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydrophiloidea","Superfamily"
"599","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Hydroporinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"600","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Hydroporinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"601","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Hydroporinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"602","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Hydroporinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"603","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Hydroporinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"604","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Hydroporinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"605","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Hydroporinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"606","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Hydroporinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"607","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Hydroporinae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"613","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Hydropsychoidea","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydropsychoidea","Superfamily"
"614","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Hydroptiloidea","Hydroptilidae","Hydroptilinae","ZZZ","Hydroptilini","ZZZ","ZZZ","Hydroptila","ZZZ","ZZZ","ZZZ","ZZZ","Hydroptila","Genus"
"615","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Hydroptiloidea","Hydroptilidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydroptilidae","Family"
"616","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Hydroptiloidea","Hydroptilidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydroptilidae","Family"
"617","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Hydroptiloidea","Hydroptilidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydroptilidae","Family"
"619","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hydrovolziidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydrovolzia","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"620","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hydryphantidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hydryphantes","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"621","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hydryphantidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Panisus","ZZZ","Acari","Subclass"
"622","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hydryphantidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"623","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hygrobatidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Hygrobates","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"624","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hygrobatidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"627","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","Integripalpia","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Integripalpia","Suborder"
"635","Porifera","ZZZ","ZZZ","Demospongiae","ZZZ","ZZZ","ZZZ","Astrophorida","ZZZ","ZZZ","ZZZ","Geodiidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Isops","ZZZ","ZZZ","ZZZ","ZZZ","Isops","Genus"
"636","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Iswaeon","ZZZ","Iswaeon","Species"
"644","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Unionicolidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Koenikea","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"650","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Aturidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Kongsbergia","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"651","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Krendowskiidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"659","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","ZZZ","Laccobiini","ZZZ","ZZZ","Laccobius","ZZZ","ZZZ","ZZZ","ZZZ","Laccobius","Genus"
"660","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Dytiscidae","Laccophilinae","ZZZ","Laccophilini","ZZZ","ZZZ","Laccophilus","ZZZ","ZZZ","ZZZ","ZZZ","Dytiscidae","Family"
"661","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Elateriformia","Elateroidea","Lampyridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Lampyridae","Family"
"666","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Arrenuridae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Laversia","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"667","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Lebertiidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Lebertia","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"668","Annelida","ZZZ","ZZZ","Polychaeta","Palpata","ZZZ","ZZZ","Aciculata","Phyllodocida","ZZZ","ZZZ","Polynoidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Lepidonotus","ZZZ","ZZZ","ZZZ","ZZZ","Lepidonotus","Genus"
"689","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Leptohyphidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Leptohyphidae","Family"
"690","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Furcatergalia","Lanceolata","ZZZ","Leptophlebiidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Leptophlebiidae","Family"
"692","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","Heteroptera","Nepomorpha","Nepoidea","Belostomatidae","Lethocerinae","ZZZ","ZZZ","ZZZ","ZZZ","Lethocerus","ZZZ","ZZZ","ZZZ","ZZZ","Lethocerus","Genus"
"699","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Libellulidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Libellulidae","Family"
"700","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Odonata","Anisoptera","ZZZ","ZZZ","Libellulidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Libellulidae","Family"
"707","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Limnephiloidea","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Limnephiloidea","Superfamily"
"709","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Limnesiidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Limnesia","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"710","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Limnichidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Limnichidae","Family"
"725","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Axonopsidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Ljania","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"742","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","Heteroptera","Gerromorpha","Hydrometroidea","Macroveliidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Macrovelia","ZZZ","ZZZ","ZZZ","ZZZ","Macrovelia","Genus"
"746","Mollusca","ZZZ","ZZZ","Bivalvia","Palaeoheterodonta","ZZZ","ZZZ","Unionoida","ZZZ","ZZZ","ZZZ","Margaritiferidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Margaritiferidae","Family"
"747","Mollusca","ZZZ","ZZZ","Bivalvia","Palaeoheterodonta","ZZZ","ZZZ","Unionoida","ZZZ","ZZZ","ZZZ","Margaritiferidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Margaritiferidae","Family"
"748","Mollusca","ZZZ","ZZZ","Bivalvia","Palaeoheterodonta","ZZZ","ZZZ","Unionoida","ZZZ","ZZZ","ZZZ","Margaritiferidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Margaritiferidae","Family"
"760","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Hygrobatidae","Hygrobatinae","ZZZ","ZZZ","ZZZ","ZZZ","Mesobates","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"770","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Myxophaga","ZZZ","ZZZ","Microsporidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Microsporidae","Family"
"775","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Mideidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Midea","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"776","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Mideopsidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"777","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Mideopsidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Mideopsis","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"778","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Leptoceroidea","Molannidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Molanna","ZZZ","ZZZ","ZZZ","ZZZ","Molanna","Genus"
"780","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Momoniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Momonia","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"781","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Torrenticolidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Monatractides","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
"786","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Limnephiloidea","Apataniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Moselyana","ZZZ","ZZZ","comosa","ZZZ","Moselyana","Genus"
"787","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Trichoptera","ZZZ","ZZZ","Limnephiloidea","Apataniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Moselyana","ZZZ","ZZZ","comosa","ZZZ","Moselyana","Genus"
"800","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Unionicolidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Najadicola","ZZZ","ZZZ","ZZZ","ZZZ","Acari","Subclass"
